mode,n,recall,scenario,model
TWF,10,0.3,A,logreg
HDF,29,0.8275862068965517,A,logreg
PWF,13,1.0,A,logreg
OSF,16,1.0,A,logreg
RNF,4,0.25,A,logreg
TWF,10,0.3,A,tree
HDF,29,0.9655172413793104,A,tree
PWF,13,0.9230769230769231,A,tree
OSF,16,1.0,A,tree
RNF,4,0.5,A,tree
TWF,10,0.0,A,knn
HDF,29,0.034482758620689655,A,knn
PWF,13,0.38461538461538464,A,knn
OSF,16,0.25,A,knn
RNF,4,0.0,A,knn
TWF,10,0.9,B,logreg
HDF,29,0.9310344827586207,B,logreg
PWF,13,0.9230769230769231,B,logreg
OSF,16,1.0,B,logreg
RNF,4,0.5,B,logreg
TWF,10,0.6,B,tree
HDF,29,0.9310344827586207,B,tree
PWF,13,0.9230769230769231,B,tree
OSF,16,1.0,B,tree
RNF,4,0.25,B,tree
TWF,10,0.0,B,knn
HDF,29,0.06896551724137931,B,knn
PWF,13,0.46153846153846156,B,knn
OSF,16,0.5625,B,knn
RNF,4,0.0,B,knn
TWF,10,0.5,C,logreg
HDF,29,0.9655172413793104,C,logreg
PWF,13,0.9230769230769231,C,logreg
OSF,16,1.0,C,logreg
RNF,4,0.25,C,logreg
TWF,10,0.7,C,tree
HDF,29,1.0,C,tree
PWF,13,1.0,C,tree
OSF,16,1.0,C,tree
RNF,4,0.25,C,tree
TWF,10,0.0,C,knn
HDF,29,0.1724137931034483,C,knn
PWF,13,0.5384615384615384,C,knn
OSF,16,0.5625,C,knn
RNF,4,0.0,C,knn
